slug,ingredient_name,amount,unit,daily_value_pct,form,is_proprietary_blend,blend_name
cat-s-claw-v-max,Olive Leaf Extract (Olea europaea),,,,standardized to 70% Oleuropeins,TRUE,Proprietary Blend
cat-s-claw-v-max,Propolis extract,,,,,TRUE,Proprietary Blend
cat-s-claw-v-max,Monolaurin,,,,as Glycerol monolaurate,TRUE,Proprietary Blend
cat-s-claw-v-max,Lemongrass Oil (Cymbopogon citratus),,,,,TRUE,Proprietary Blend
crypto-co-max,Artemisinin,15,mg,,,FALSE,
crypto-co-max,Cryptolepis sanguinolenta root extract,,,,,TRUE,Proprietary Blend
crypto-co-max,Japanese Knotweed (polygonum cuspidatum) rhizome extract,,,,,TRUE,Proprietary Blend
cryptolepis,Cryptolepis sanguinolenta Root Extract,0.7,mL,,1:5,FALSE,
cystimax,Uva Ursi Leaf Extract,650,mg,,Standardized to contain 20% Arbutin,FALSE,
cystimax,Berberine Hydrochloride Hydrate,200,mg,,,FALSE,
cystimax,Marshmallow Root,150,mg,,,FALSE,
cystimax,Bladderwrack (Whole Plant),80,mg,,,FALSE,
cystimax,Celery Seed Extract,80,mg,,,FALSE,
d-enzyme,Amylase,7650,DU,,,TRUE,Enzyme Blend
d-enzyme,Protease 4.5,20400,HUT,,,TRUE,Enzyme Blend
d-enzyme,Acid Maltase,10.7,MaltU,,,TRUE,Enzyme Blend
d-enzyme,Bromelain (from Pineapple),382500,FCCPU,,,TRUE,Enzyme Blend
d-enzyme,Glucoamylase,12.8,AGU,,,TRUE,Enzyme Blend
d-enzyme,Peptidase,2550,HUT,,,TRUE,Enzyme Blend
d-enzyme,Lactase,816,ALU,,,TRUE,Enzyme Blend
d-enzyme,Hemicellulose,750,HCU,,,TRUE,CereCulase® Blend
d-enzyme,Beta-Glucanase,6.4,BGU,,,TRUE,CereCulase® Blend
d-enzyme,Phytase,1.9,FTU,,,TRUE,CereCulase® Blend
d-enzyme,Papain,357000,FCCPU,,,FALSE,
d-enzyme,Alpha-galactosidase,102,GALU,,,FALSE,
d-enzyme,Lipase,1070,FIP,,,FALSE,
d-enzyme,Neutral Bacterial Protease,3825,PC,,,FALSE,
d-enzyme,Pectinase,7.7,ENDOPG,,,FALSE,
d-enzyme,Protease 6.0,2550,HUT,,,FALSE,
d-enzyme,Acid Protease,10,SAP,,,FALSE,
d-enzyme,Invertase,433,SU,,,FALSE,
d-enzyme,Cellulase,178,CU,,,FALSE,
d-enzyme,Xylanase,255,XU,,,FALSE,
d-enzyme,Artichoke Leaf Extract,150,mg,,Standardized to contain 5% Cynarin and Derivatives,FALSE,
d-enzyme,Gentian Root Extract,100,mg,,,FALSE,
detox-2,Choline,72,mg,13,as Choline Bitartrate,FALSE,
detox-2,Dandelion Root Extract,225,mg,,,FALSE,
detox-2,Artichoke Leaf Extract,145,mg,,Standardized to contain 5% Cynarin,FALSE,
detox-2,Inositol NF,140,mg,,,FALSE,
detox-2,L-Methionine USP,140,mg,,,FALSE,
detox-2,Milk Thistle Seed Extract,130,mg,,Standardized to contain 58% Silymarin,FALSE,
detox-2,Garlic Bulb,100,mg,,,FALSE,
detox-2,Turmeric Root Extract,100,mg,,"Complete Turmeric Matrix - Standardized to contain 45-55% Curcuminoids, 3-8% Volatile Oil, 2-6% Turmerin",FALSE,
dhea-25-mg,DHEA (Dehydroepiandrosterone),25,mg,,,FALSE,
dhea-5-mg,DHEA (Dehydroepiandrosterone),5,mg,,,FALSE,
dim-cdg,Vitamin E,33.5,mg,223,from 50 IU as d-Alpha Tocopherol Succinate USP,FALSE,
dim-cdg,Calcium,120,mg,9,as Calcium D-Glucarate USP,FALSE,
dim-cdg,Calcium D-Glucarate USP,1,g,,,FALSE,
dim-cdg,Dietary Indoles,300,mg,,,FALSE,
edta-with-r-lipoic-acid,Sodium,35,mg,1.5,,FALSE,
edta-with-r-lipoic-acid,EDTA,210,mg,,Disodium EDTA,FALSE,
edta-with-r-lipoic-acid,Lipoic Acid,26,mg,,from Sodium R-Lipoate,FALSE,
edta-with-r-lipoic-acid,Phosphatidylcholine,350,mg,,from purified soybean lecithin,FALSE,
estro-fem,Rhapontic Rhubarb,4,mg,,Rheum rhaponticum L. Root Extract,FALSE,
ez-meal-1,Calories,200,,,,FALSE,
ez-meal-1,Total Fat,6,g,8,,FALSE,
ez-meal-1,Saturated Fat,3,g,15,,FALSE,
ez-meal-1,Total Carbohydrate,14,g,5,,FALSE,
ez-meal-1,Dietary Fiber,4,g,14,,FALSE,
ez-meal-1,Total Sugars,8,g,,,FALSE,
ez-meal-1,Protein,19,g,38,,FALSE,
ez-meal-1,Vitamin D,50,mcg,250,D3 as Cholecalciferol,FALSE,
ez-meal-1,Calcium,30,mg,2,,FALSE,
ez-meal-1,Iron,0.4,mg,2,,FALSE,
ez-meal-1,Sodium,50,mg,2,,FALSE,
ez-meal-1,Potassium,90,mg,2,,FALSE,
